"","Head","Tail","Freq"
"627","BCYRN1","TXK",1
"628","TEC","TXK",3
"629","GPR141","TXNDC3",17
"630","NUP210","TXNIP",2
"631","CYTH1","USP36",15
"632","RPL30","USP4",1
"633","MED20","USP49",132
"634","TTTY15","USP9Y",72
"635","LPIN1","UTP6",1
"636","VAMP8","VAMP5",373
"637","DNAJC4","VEGFB",4
"638","RN28S1","VIM",2
"639","RPL27","VIM",3
"640","RDH11","VTI1B",2
"641","GPKOW","WDR45",38
"642","UBA2","WTIP",1
"643","B2M","YWHAB",4
"644","RASSF8","ZBED1",3
"645","SRGN","ZBTB7A",6
"646","ACTB","ZFP36L2",7
"647","HARS2","ZMAT2",196
"648","TUSC4","ZMYND10",22
"649","ZNF559","ZNF177",14
"650","GOSR1","ZNF207",36
"651","RASSF4","ZNF22",12
"652","COG5","ZNF277",20
"653","B2M","ZNF302",6
"654","FTL","ZNF302",2
"655","RPL34","ZNF302",23
"656","RPLP2","ZNF302",1
"657","RPS6","ZNF302",14
"658","UBA52","ZNF302",4
"659","RPS4Y1","ZNF395",2
"660","ZNF782","ZNF510",186
"661","ZNF649","ZNF577",1
"662","ZNF544","ZNF8",6
"663","ZNF525","ZNF83",13
"664","ZNF761","ZNF83",12
"665","ZNF765","ZNF83",2
"666","ZNF813","ZNF83",5
